32202 19
32532 26
32403 20
32301 19
57612 31
38300 7
38360 8
76204 7
75389 8
76590 6
67307 7
66461 6
75679 8
76520 6
66497 6
67281 6
76652 7
63883 9
64579 8
61082 9
64731 9
60514 11
74699 8
74873 7
75140 7
67455 8
58599 7
74200 8
74298 7
75148 6
65427 8
68458 7
75382 8
75852 7
76192 6
66499 8
63389 8
74538 8
74856 7
75209 6
66014 8
67011 6
32768 28
32741 21
43272 21
40925 25
38405 26
32583 22
57989 24
57741 27
32702 20
32405 28
45330 8
32365 20
57850 29
32979 20
51289 7
51742 6
32797 23
57515 25
72194 9
72881 7
71338 7
73770 8
66829 9
68533 7
68155 6
63078 9
64072 7
69745 8
71013 7
70782 7
64177 8
64971 9
66850 8
67804 7
67942 6
64712 8
55921 6
76046 8
76034 8
76339 6
67154 8
66478 8
67103 8
67386 6
67804 6
65008 8
61663 14
66879 8
67738 8
67667 6
61858 8
63714 8
70863 8
71978 8
72047 7
65402 8
63988 6
73338 10
73679 8
72770 7
66659 8
68798 7
66608 8
67983 7
67735 7
61806 8
64515 8
76220 8
75541 7
75809 6
67881 8
64469 10
73635 8
73809 6
67303 7
72030 8
67436 12
66286 8
67209 8
67346 7
64564 8
61569 8
66526 8
67959 7
68133 6
63957 8
57298 6
71954 9
72563 7
73233 6
66498 8
60555 7
70400 11
71162 7
71298 9
63707 9
65911 8
73510 8
74000 7
72775 8
66412 7
67400 8
74628 10
76316 7
76567 7
67313 10
65024 7
74704 8
74798 7
73891 8
64255 6
67521 7
67416 9
67799 8
66756 9
63367 7
59641 9
75352 8
74692 7
76866 6
67089 8
64345 9
71243 8
71098 7
71704 7
65254 9
65320 6
69411 9
70041 7
70658 6
65721 8
63265 8
69170 12
69452 6
64883 7
65936 8
62933 7
73641 8
73231 6
68504 7
71923 8
66932 6
76296 8
75426 6
69592 10
70790 6
68584 7
68704 9
68351 7
69259 6
61138 7
65058 8
67481 8
67356 6
67320 10
61773 8
66132 7
75751 8
75738 8
76454 7
68773 8
63940 14
72032 9
72642 7
72766 8
66071 8
68721 7
75715 8
74421 7
74708 7
68306 8
66178 7
66490 8
66435 6
65330 8
62650 8
63861 7
71428 11
72196 7
72127 6
64115 8
66912 7
69880 8
70639 7
70708 7
62273 7
66703 7
67109 9
67401 7
68076 7
63713 8
64842 6
72899 8
72359 11
73475 7
60919 7
63419 8
76304 8
76266 6
74747 7
64981 8
61304 7
72843 10
73962 7
72888 6
67732 8
64259 6
69398 8
69151 8
69902 7
60107 7
61603 6
76765 8
76885 7
76259 7
66761 6
66801 7
66378 8
67407 7
67374 7
62008 8
64596 9
67807 8
68757 7
69020 6
63282 8
64510 6
67668 8
67212 8
67470 7
62361 10
64432 7
73508 8
73727 8
72588 8
66140 9
69442 6
75484 9
76182 7
76094 7
66255 8
68366 6
66315 9
67208 6
67200 6
62065 8
59745 7
69023 8
69203 8
69550 6
61556 8
64021 8
72005 8
72103 7
71218 7
67725 8
65107 7
73140 8
75851 8
75952 6
68963 8
68591 7
66345 11
66859 8
66838 9
61720 8
64314 8
67580 8
68212 7
67066 8
61944 8
65075 6
70328 9
71006 8
71185 8
61846 8
60809 7
76406 9
75829 6
65918 9
75664 8
66496 10
66082 9
66510 7
65573 7
61648 10
64863 9
64192 8
65781 7
63998 7
62955 7
65230 9
66429 8
65198 8
67191 7
62068 8
60191 8
65158 8
63952 7
63505 6
63589 7
64192 6
77486 8
77835 7
76763 7
70078 8
65694 8
67633 8
67754 7
66767 7
61009 8
64174 6
66974 10
67331 7
64208 7
64457 8
65957 6
64184 9
64715 8
65263 8
65223 7
62179 8
73501 8
73088 7
66206 7
68243 8
72050 7
76497 8
75522 7
74845 6
67357 11
66153 7
73191 8
72910 7
68278 13
66255 8
71626 7
72854 7
72825 6
72321 8
67763 8
64278 7
67374 8
67152 7
67371 6
61147 8
65097 8
65292 8
65005 7
64036 9
60404 7
66019 8
74691 9
75675 7
75955 7
67062 8
65332 6
73826 9
66780 7
72515 8
74581 6
67742 7
